"6,21.52,28.21,35949,36006,57,A,salida"
"7,38.06,999.00,39857,39773,-84,B,entrada"
"8,29.05,29.67,44269,44326,57,A,salida"
"9,32.05,29.82,48268,48209,-59,B,entrada"
"10,27.35,29.05,52348,52467,119,A,salida"
"11,38.84,35.76,56853,56853,0,A,salida"
"12,29.72,34.76,65149,65453,304,A,salida"
"13,37.71,37.37,68911,68911,0,A,salida"
"14,37.25,15.86,74816,74816,0,A,salida"
"15,32.57,15.86,77504,77385,-119,B,entrada"
"16,39.53,33.46,80443,80264,-179,B,entrada"
"17,30.49,84.48,84271,84209,-62,B,entrada"
"18,37.70,36.22,89546,89546,0,A,salida"
"19,30.85,18.42,94765,94765,0,A,salida"
"20,33.85,86.86,98285,98098,-187,B,entrada"
"21,20.58,28.79,103410,103647,237,A,salida"
"22,35.88,34.49,107346,107226,-120,B,entrada"
"23,23.03,29.57,112364,112421,57,A,salida"
"24,38.40,35.04,116307,116249,-58,B,entrada"
"25,29.82,18.97,120011,120011,0,A,salida"
"26,39.55,35.98,124087,123968,-119,B,entrada"
"27,26.10,29.57,129304,129423,119,A,salida"
"28,36.79,36.68,133871,133753,-118,B,entrada"
"29,28.69,19.69,137070,137070,0,A,salida"
"30,49.60,31.38,140908,140967,59,A,salida"
"31,28.78,29.14,144545,144726,181,A,salida"
"32,29.72,29.41,148918,148800,-118,B,entrada"
"33,28.40,28.78,151993,152317,324,A,salida"
"34,35.53,33.46,156144,156026,-118,B,entrada"
"35,30.77,31.11,159980,160160,180,A,salida"
"36,35.64,29.03,164164,164045,-119,B,entrada"
"37,23.60,28.78,167553,167813,260,A,salida"
"38,28.95,44.61,171447,171210,-237,B,entrada"
"39,33.85,15.86,176792,176792,0,A,salida"
"40,34.11,30.85,181746,181511,-235,B,entrada"
"41,29.03,29.40,186614,186789,175,A,salida"
"42,36.79,36.34,190817,190696,-121,B,entrada"
"43,29.19,20.01,193700,193758,58,A,salida"
"44,38.96,38.30,195751,195692,-59,B,entrada"
"45,29.70,20.01,197379,197623,244,A,salida"
"46,37.47,33.97,201071,200889,-182,B,entrada"
"47,30.75,19.04,202694,202694,0,A,salida"
"48,31.56,17.77,205328,205635,307,A,salida"
"49,31.28,29.03,209321,209200,-121,B,entrada"
"50,22.64,29.67,222843,222843,0,A,salida"
"51,38.16,32.16,226683,226564,-119,B,entrada"
"52,35.86,31.37,230279,230568,289,A,salida"
"53,25.62,29.65,234248,234073,-175,B,entrada"
"54,22.91,23.68,237452,237711,259,A,salida"
"55,35.40,30.44,241654,241654,0,A,salida"
"56,28.79,31.49,249815,249994,179,A,salida"
"57,28.67,36.44,254128,254069,-59,B,entrada"
"58,32.57,15.86,257449,257449,0,A,salida"
"59,32.59,31.90,261670,261612,-58,B,entrada"
"60,29.05,19.36,264939,264939,0,A,salida"
"61,38.18,34.33,269139,269080,-59,B,entrada"
"62,31.02,17.77,272593,272593,0,A,salida"
"63,35.60,34.23,276605,276426,-179,B,entrada"
"64,29.72,18.73,279876,279876,0,A,salida"
"65,28.67,29.40,283691,283453,-238,B,entrada"
"66,107.41,37.27,287405,287468,63,A,salida"
"67,29.46,999.00,292202,291933,-269,B,entrada"
"68,23.03,30.44,296919,297217,298,A,salida"
"69,37.23,32.16,301732,301732,0,A,salida"
"70,35.64,35.74,309345,309462,117,A,salida"
"71,31.01,28.88,314300,314243,-57,B,entrada"
"72,25.33,29.55,317376,317433,57,A,salida"
"73,36.32,999.00,320025,319818,-207,B,entrada"
"74,32.83,16.91,321968,322026,58,A,salida"
"75,36.79,35.76,325067,325067,0,A,salida"
"76,16.45,16.81,327701,327878,177,A,salida"
"77,11.75,14.17,330636,330395,-241,B,entrada"
"78,34.37,15.86,333583,333640,57,A,salida"
"79,35.41,32.41,336391,336090,-301,B,entrada"
"80,34.64,39.43,338640,338699,59,A,salida"
"81,32.83,30.18,341323,341206,-117,B,entrada"
"3,29.57,28.88,197736,198032,296,A,salida"
"4,29.45,29.05,202204,202083,-121,B,entrada"
"5,28.78,31.64,204784,204901,117,A,salida"
"6,38.60,37.13,207471,207471,0,A,salida"
"7,29.46,20.32,209861,209861,0,A,salida"
"8,39.29,36.91,212039,211861,-178,B,entrada"
"9,34.37,15.86,215890,216075,185,A,salida"
"10,35.52,36.91,219311,219013,-298,B,entrada"
"11,18.99,27.44,222137,222137,0,A,salida"
"12,34.90,16.81,224892,224834,-58,B,entrada"
"13,16.76,30.96,228630,228630,0,A,salida"
"14,29.82,18.62,231717,231660,-57,B,entrada"
"15,15.80,22.81,234691,234808,117,A,salida"
"16,29.21,27.63,238311,238076,-235,B,entrada"
"17,21.21,22.52,240323,240684,361,A,salida"
"18,29.46,25.12,243131,243074,-57,B,entrada"
"19,25.81,22.23,245900,245900,0,A,salida"
"20,36.32,21.18,248547,248605,58,A,salida"
"21,29.46,29.29,251242,251362,120,A,salida"
"22,32.83,30.18,254524,254381,-143,B,entrada"
"23,24.64,29.81,257155,257458,303,A,salida"
"24,30.75,27.63,260299,260037,-262,B,entrada"
"25,22.64,26.58,263263,263380,117,A,salida"
"26,28.40,25.90,266440,266206,-234,B,entrada"
"27,24.75,27.34,269463,269582,119,A,salida"
"28,38.50,84.34,272407,272285,-122,B,entrada"
"29,28.50,35.98,275159,275458,299,A,salida"
"30,35.53,84.43,278277,278155,-122,B,entrada"
"31,22.74,24.54,304286,304286,0,A,salida"
"32,27.25,22.81,306796,306675,-121,B,entrada"
"33,29.96,18.09,309895,309895,0,A,salida"
"34,30.85,28.30,313039,312794,-245,B,entrada"
"35,30.49,17.13,316054,316054,0,A,salida"
"36,37.01,31.64,318808,318624,-184,B,entrada"
"37,22.74,29.29,321122,321300,178,A,salida"
"38,35.16,49.07,324698,324516,-182,B,entrada"
"39,22.16,23.56,327332,327686,354,A,salida"
"40,31.52,27.05,330870,330574,-296,B,entrada"
"41,31.26,16.81,334394,334394,0,A,salida"
"42,30.08,17.13,337344,337344,0,A,salida"
"43,35.64,15.86,340370,340370,0,A,salida"
"44,29.31,25.40,343894,343379,-515,B,entrada"
"45,30.10,18.09,348134,348134,0,A,salida"
"46,37.94,35.98,353130,352953,-177,B,entrada"
"47,34.90,36.43,355191,355432,241,A,salida"
"48,35.64,32.41,441593,441593,0,A,salida"
"49,17.39,23.39,447731,447849,118,A,salida"
"50,35.41,31.90,452198,452021,-177,B,entrada"
"51,22.45,25.60,455284,455284,0,A,salida"
"52,33.60,30.34,460483,460425,-58,B,entrada"
"53,22.45,22.54,465374,465431,57,A,salida"
"54,28.67,26.17,470802,470860,58,A,salida"
"55,32.31,33.72,476055,476234,179,A,salida"
"56,38.74,35.26,498973,498851,-122,B,entrada"
"57,24.18,24.15,503675,503979,304,A,salida"
"58,36.08,22.42,507699,507640,-59,B,entrada"
"59,24.47,29.14,511619,511794,175,A,salida"
"60,37.70,36.92,525704,525645,-59,B,entrada"
"61,18.04,36.58,531271,531390,119,A,salida"
"62,38.38,83.55,535593,535473,-120,B,entrada"
"63,33.60,39.20,538633,538753,120,A,salida"
"64,38.16,35.53,543543,543424,-119,B,entrada"
"65,33.36,35.26,547730,547974,244,A,salida"
"66,36.56,999.00,552765,552681,-84,B,entrada"
"67,27.54,31.13,725776,725834,58,A,salida"
"68,39.45,23.12,729165,729165,0,A,salida"
"69,22.74,26.17,731922,731922,0,A,salida"
"70,35.88,35.28,734605,734422,-183,B,entrada"
"71,29.72,33.20,737617,737737,120,A,salida"
"72,29.72,999.00,740880,740678,-202,B,entrada"
"73,31.52,17.46,743507,743507,0,A,salida"
"74,37.47,19.26,746440,746264,-176,B,entrada"
"75,16.22,17.77,749150,749390,240,A,salida"
"76,28.79,26.75,752533,752533,0,A,salida"
"77,16.76,30.85,755563,755563,0,A,salida"
"78,32.67,30.44,759950,759950,0,A,salida"
"79,21.52,29.55,762975,762975,0,A,salida"
"80,31.54,30.60,767755,767577,-178,B,entrada"
"81,23.31,23.98,771172,771172,0,A,salida"
"82,34.64,31.47,776156,776036,-120,B,entrada"
"83,24.64,29.81,779493,779493,0,A,salida"
"84,34.11,16.17,783507,783388,-119,B,entrada"
"85,15.81,38.74,804416,804416,0,A,salida"
"86,35.64,49.08,808428,808369,-59,B,entrada"
"87,28.67,29.67,811522,811702,180,A,salida"
"88,32.84,32.16,816164,816045,-119,B,entrada"
"89,29.45,18.09,819761,819761,0,A,salida"
"90,29.26,28.88,824208,823967,-241,B,entrada"
"91,22.64,27.35,827671,827787,116,A,salida"
"92,30.49,29.57,832011,832011,0,A,salida"
"93,21.75,23.96,836245,836302,57,A,salida"
"94,38.18,35.00,841453,841395,-58,B,entrada"
"95,25.52,29.31,846587,846646,59,A,salida"
"96,35.64,36.68,849595,849595,0,A,salida"
"97,22.35,25.12,853384,853384,0,A,salida"
"98,31.26,15.86,855132,855011,-121,B,entrada"
"99,18.35,27.92,858487,858487,0,A,salida"
"100,38.38,38.74,862054,862054,0,A,salida"
"101,28.23,31.62,864319,864376,57,A,salida"
"102,35.86,30.70,866871,866751,-120,B,entrada"
